16817600020006,ESCUELA RURAL SABANETA
16817600020007,CENTRO EDUCATIVO  GUAMAL
16817600020008,ESCUELA  RURAL LA COLORADA
16817600020009,ESCUELA RURAL   PALENCIA
16817600020010,ESCUELA RURAL EL OPON
16817600020011,ESCUELA RURAL EL CURITO
16817600020012,ESCUELA RURAL  LA PIEDRA
16817600020013,ESCUELA RURAL   SAN ANTONIO
16817600020014,ESCUELA RURAL  SAN DIEGO
16817600020015,ESCUELA RURAL SANTA BARBARA
16817900013801,INSTITUTO TECNICO AGROPECUARIO AGATA
16817900013802,CENTRO EDUCATIVO  EL PAPAYO
16817900013803,ESCUELA RURAL EL BATAN
16817900013804,ESCUELA RURAL EL MULATAL
16817900013805,ESCUELA RURAL EL ROCIO
16817900013806,ESCUELA RURAL PUENTE GRANDE
16817900013807,ESCUELA RURAL SAN MIGUEL
16819000027101,COLEGIO LA CANDELARIA - SEDE PRINCIPAL
16819000205301,COLEGIO INTEGRADO  DEL CARARE
16820700036001,COLEGIO NUESTRA SEÑORA DE LA CONCEPCION
16820700036002,ESCUELA URBANA GABRIELA MISTRAL
16820700036003,CENTRO EDUCATIVO  RIO COLORADO
16820700036004,ESCUELA RURAL ALTO CHAMACA
16820700036005,ESCUELA RURAL BAJO CHAMACA
16820700036006,ESCUELA RURAL CUEVA GRANDE
16820700036007,ESCUELA RURAL MOJICONES
16820700036008,ESCUELA RURAL NITAGA
16820700036009,ESCUELA RURAL SAN FRANCISCO
16820700036010,ESCUELA RURAL SOLON WILCHES
16820700036011,ESCUELA RURAL TAMARA
16820900001401,COLEGIO LUIS CARLOS GALAN SARMIENTO
16820900001402,ESCUELA RURAL AGUABUENA
16820900001403,ESCUELA RURAL SAN JOAQUIN
16820900001404,ESCUELA RURAL MORARIO
16820900001405,ESCUELA RURAL LA CALDERA
16820900001406,ESCUELA RURAL BARROBLANCO
16820900001407,ESCUELA RURAL EL SALITRE
16820900001408,ESCUELA RURAL PALMAR GRANDE
16820900001409,ESCUELA RURAL PALMARITO
16820900001410,ESCUELA RURAL BARRANQUITAS
16821100016101,INSTITUTO TECNICO INDUSTRIAL SAN JUAN BO
16821100016102,INSTITUTO LAURA  VICUÑA
16821100016103,ESCUELA URBANA  PABLO GIUA
16821100016104,ESCUELA URBANA JOHN F. KENNEDY
16821100016106,ESCUELA RURAL SAN PABLO
16821100016107,ESCUELA RURAL HOYA GRANDE
16821100016108,ESCUELA RURAL SAN JOSE DEL TIGRE
16821100016109,ESCUELA RURAL SANTA ROSA
16821100016110,ESCUELA RURAL EL GUAYABAL
16821100016111,ESCUELA RURAL LA AGUADITA
16821100016112,ESCUELA RURAL LA VEGA
16821700044901,COLEGIO TECNICO AGROPECUARIO RAFAEL LEON
16821700044902,ESCUELA RURAL SAN AGUSTIN
16821700044903,ESCUELA RURAL SAN JOSE
16821700044904,ESCUELA RURAL EL ANZUELO
16821700044905,ESCUELA RURAL LA LAGUNA
16821700044906,ESCUELA RURAL LOS PINOS
16821700044907,ESCUELA RURAL MENEMPA
16821700044908,ESCUELA RURAL ANTONIA SANTOS
16821700044909,ESCUELA RURAL HELENITA SANTOS
16821700044910,ESCUELA RURAL GUACHAVITA
16821700044911,ESCUELA RURAL LA MINA
16822900001101,COLEGIO INTEGRADO EDUARDO CAMACHO GAMBA
16822900001102,ESCUELA URBANA ISMAEL ENRIQUE ARCINIEGAS
16822900001103,ESCUELA URBANA  ULPIANO SERRANO GOMEZ
16822900001104,ESCUELA RURAL LAS ACACIAS
16822900001105,ESCUELA RURAL LA CANTERA
16822900001106,ESCUELA RURAL EL COMUN
16822900001107,ESCUELA RURAL CUCHICUTE
16822900001108,ESCUELA RURAL LLANO DE NAVAS
16822900001109,ESCUELA RURAL EL PALMAR
16822900001110,ESCUELA RURAL PALMIRA
16822900001111,ESCUELA RURAL PALO BLANCO BAJO
16822900001112,ESCUELA RURAL SAN CARLOS
16822900001113,ESCUELA RURAL ZAMORANO
16823500002201,COLEGIO  SAN LUIS GONZAGA
16823500002202,CONCENTRACION ESCOLAR EL CARMEN
16823500002203,ESCUELA RURAL LA UNION VERGEL
16823500002204,ESCUELA RURAL LAS NIEVES
